,names,cuisine,price,reviews,rating,address
321,Arros Qd,Mediterranean,3,96.0,4.3,Fitzrovia
322,Roka - Charlotte Street,Japanese,4,190.0,4.7,Fitzrovia
324,Thai Square Covent Garden,Thai,3,530.0,4.4,Leicester Square
325,Bindas Eatery- Mayfair,Indian,2,113.0,4.1,Mayfair
326,Com Viet,Vietnamese,2,524.0,4.5,Covent Garden
327,Meraki Restaurant,Greek,4,117.0,4.7,Fitzrovia
328,The Game Bird,British,4,481.0,4.6,Green Park
329,Fumo,Italian,2,121.0,4.4,Covent Garden
330,Yalla Yalla Winsley St,Middle Eastern,2,88.0,4.3,Marylebone
331,Delfino Restaurant,Italian,2,550.0,4.6,Mayfair
332,Sotheby’S Restaurant,Modern European,3,50.0,4.7,Mayfair
333,Berkshire Lounge Bar,British,3,1.0,4.5,Oxford Circus
334,Bellamy'S,Modern European,3,281.0,4.6,Mayfair
337,Murano,Modern European,4,2089.0,4.6,Mayfair
338,Afternoon Tea At Caffe Concerto Green Park,Italian,2,20.0,3.8,Green Park
339,Ormer Mayfair,British,4,933.0,4.9,Mayfair
340,Gbr - Great British Restaurant @ Dukes London,British,2,383.0,4.6,St. James's
342,Hélène Darroze At The Connaught,French,4,752.0,4.6,Mayfair
344,Thai Square Trafalgar Square,Thai,3,1766.0,3.9,Charing Cross
347,The Jones Family Affair,Steak,3,6.0,4.9,Charing Cross
348,Kerridge’S Bar & Grill,British,3,80.0,4.6,Westminster
349,Da Paolo Restaurant,Italian,3,884.0,4.7,Fitzrovia
350,Locket'S,Modern European,2,5.0,4.2,St. James's
351,Manetta'S Bar,British,2,76.0,4.9,Mayfair
352,Punjab Restaurant,Indian,2,80.0,4.6,Holborn
353,Pahli Hill,Indian,3,11.0,4.7,Fitzrovia
355,Palms Of Goa,Indian,2,12.0,4.6,Fitzrovia
356,The Wine Place Covent Garden,Italian,2,115.0,4.6,Soho
359,Sticks'N'Sushi - Covent Garden,Japanese,2,20.0,4.8,Covent Garden
360,Jean-Georges At The Connaught,Bistro,3,158.0,4.7,Mayfair
361,Café Murano - St James,Italian,3,1730.0,4.5,St. James's
362,Caffe Concerto Green Park,Italian,2,85.0,3.5,Green Park
