names,cusine,price,reviews_count,rating,address,url
La Padella,Restaurant,Not Available,Restaurant,Not Available,"2 Exeter St, London WC2E 7DS","https://www.google.com/maps/place/La+Padella/@51.5077053,-0.1742585,13z/data=!4m10!1m3!2m2!1srestaurants+in+london+uk!6e5!3m5!1s0x487604cbbf2b6a75:0xe6cd6b94f5ae0dbb!8m2!3d51.5111434!4d-0.1214539!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgEKcmVzdGF1cmFudA"
Bancone,Italian restaurant,££,"1,050 reviews",4.5,"39 William IV St, London WC2N 4DD","https://www.google.com/maps/place/Bancone/@51.5077053,-0.1742585,13z/data=!4m10!1m3!2m2!1srestaurants+in+london+uk!6e5!3m5!1s0x487604ce7e57942f:0x2ba07c05296427b!8m2!3d51.5095558!4d-0.1264024!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgESaXRhbGlhbl9yZXN0YXVyYW50"
Il Vicolo Ristorante Italiano,Italian restaurant,££,101 reviews,4.4,"3-4 Crown Passage, St. James's, London SW1Y 6PP","https://www.google.com/maps/place/Il+Vicolo+Ristorante+Italiano/@51.5077053,-0.1742585,13z/data=!4m10!1m3!2m2!1srestaurants+in+london+uk!6e5!3m5!1s0x487604d70b051719:0x1d58e50ab28f0735!8m2!3d51.505766!4d-0.1376386!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgESaXRhbGlhbl9yZXN0YXVyYW50"
Scarlett Green,Restaurant,££,643 reviews,4.4,"4 Noel St, London W1F 8GB","https://www.google.com/maps/place/Scarlett+Green/@51.5077053,-0.1742585,13z/data=!4m10!1m3!2m2!1srestaurants+in+london+uk!6e5!3m5!1s0x48761b2b51fcc697:0xd5b97b88e91c8ec1!8m2!3d51.5152635!4d-0.135769!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgEKcmVzdGF1cmFudA"
Leroy,Restaurant,Not Available,378 reviews,4.5,"18 Phipp St, London EC2A 4NU","https://www.google.com/maps/place/Leroy/@51.5077053,-0.1742585,13z/data=!4m10!1m3!2m2!1srestaurants+in+london+uk!6e5!3m5!1s0x48761cb022e0f1ad:0x42afe1d2d2a7670a!8m2!3d51.5240195!4d-0.081501!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgEKcmVzdGF1cmFudA"
Novikov Restaurant & Bar,Restaurant,££££,"3,679 reviews",4.3,"50A Berkeley St, London W1J 8HA","https://www.google.com/maps/place/Novikov+Restaurant+%26+Bar/@51.5077048,-0.177936,13z/data=!4m10!1m3!2m2!1srestaurants+in+london+uk!6e5!3m5!1s0x48760529b999c21d:0x549dee0a1aac950!8m2!3d51.5077048!4d-0.1429171!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgEKcmVzdGF1cmFudA"
Bocca di Lupo,Italian restaurant,£££,"1,498 reviews",4.4,"12 Archer St, London W1D 7BB","https://www.google.com/maps/place/Bocca+di+Lupo/@51.5077048,-0.177936,13z/data=!4m10!1m3!2m2!1srestaurants+in+london+uk!6e5!3m5!1s0x487604d39a05c17d:0x4a3aa39eed0f9cf6!8m2!3d51.5116564!4d-0.1339596!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgESaXRhbGlhbl9yZXN0YXVyYW50"
Prezzo Italian Restaurant London Northumberland Avenue,Restaurant,££,"1,034 reviews",4.0,"Grand Buildings, 31-32 Northumberland Ave, London WC2N 5BW","https://www.google.com/maps/place/Pastaio+Carnaby/@51.5077048,-0.177936,13z/data=!3m1!5s0x4a4608c39897f7cf:0xcd3a6af110522b2e!4m7!1m3!2m2!1srestaurants+in+london+uk!6e5!3m2!1s0x487604d50dde4aa5:0xa0687296b9634852!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgESaXRhbGlhbl9yZXN0YXVyYW50"
Pastaio Carnaby,Italian restaurant,££,962 reviews,4.0,"19 Ganton St, Carnaby, London W1F 9BN","https://www.google.com/maps/place/Pastaio+Carnaby/@51.5077048,-0.177936,13z/data=!4m10!1m3!2m2!1srestaurants+in+london+uk!6e5!3m5!1s0x487604d50dde4aa5:0xa0687296b9634852!8m2!3d51.5128972!4d-0.1390056!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgESaXRhbGlhbl9yZXN0YXVyYW50"
14 Hills,Modern European restaurant,Not Available,653 reviews,4.2,,"https://www.google.com/maps/place/14+Hills/@51.5077048,-0.177936,13z/data=!4m10!1m3!2m2!1srestaurants+in+london+uk!6e5!3m5!1s0x4876050f6e3ee4c7:0xc805c661e3e7ddfe!8m2!3d51.512273!4d-0.0808058!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgEabW9kZXJuX2V1cm9wZWFuX3Jlc3RhdXJhbnQ"
Bob Bob Ricard Soho,European restaurant,££££,"1,965 reviews",4.5,"1 Upper James St, London W1F 9DF","https://www.google.com/maps/place/Bob+Bob+Ricard+Soho/@51.5077048,-0.177936,13z/data=!4m10!1m3!2m2!1srestaurants+in+london+uk!6e5!3m5!1s0x487604d4f81d3b37:0x483d43bdcad9b09a!8m2!3d51.51233!4d-0.1372525!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgETZXVyb3BlYW5fcmVzdGF1cmFudA"
Ottolenghi Spitalfields,Mediterranean restaurant,£££,"2,002 reviews",4.5,,"https://www.google.com/maps/place/Ottolenghi+Spitalfields/@51.5077048,-0.177936,13z/data=!3m1!5s0x48761cb39a9843ab:0xb9a97641e6738693!4m10!1m3!2m2!1srestaurants+in+london+uk!6e5!3m5!1s0x48761cb39aad00e9:0xa503a99c63685f15!8m2!3d51.5182265!4d-0.0771835!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgEYbWVkaXRlcnJhbmVhbl9yZXN0YXVyYW50"
Bengal Village - Best of Brick Lane,Indian restaurant,££,"1,099 reviews",4.6,"75 Brick Ln, London E1 6QL","https://www.google.com/maps/place/Bengal+Village+-+Best+of+Brick+Lane/@51.5201277,-0.1070778,13z/data=!4m10!1m3!2m2!1srestaurants+in+london+uk!6e5!3m5!1s0x48761cb6422a6bef:0x64e077b7992d8c6f!8m2!3d51.5201277!4d-0.0720589!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgERaW5kaWFuX3Jlc3RhdXJhbnQ"
