,Unnamed: 0,website_id,full_name,cuisine,price_range,reviews,rating,location,url,rest_id
14,14,1432,Robata,Japanese,3,954.0,4.4,Soho,https://www.opentable.co.uk/r/robata-london?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2541
15,15,1243,Happy,Modern European,2,1519.0,4.4,Leicester Square,https://www.opentable.co.uk/r/happy-london?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2361
17,17,1402,Yauatcha Soho,Chinese,3,6688.0,4.3,Soho,https://www.opentable.co.uk/yauatcha-soho?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2317
18,18,1426,Sticks'N'Sushi - Soho,Japanese,2,24.0,4.7,Soho,https://www.opentable.co.uk/r/sticksnsushi-soho-london?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2527
19,19,1457,Coqbull Soho,Others,2,185.0,4.1,Soho,https://www.opentable.co.uk/r/coqbull-soho-london?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2368
20,20,1502,Gaucho Piccadilly,Steak,4,10080.0,4.2,Piccadilly,https://www.opentable.co.uk/gaucho-piccadilly?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2526
21,21,1247,Whitcomb'S,French,4,198.0,4.6,Leicester Square,https://www.opentable.co.uk/r/whitcombs-london?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2436
22,22,1119,Maoz Soho,Middle Eastern,2,232.0,4.3,Soho,https://www.opentable.co.uk/r/maoz-london?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2309
23,23,1442,Jinjuu Soho,Korean,3,1749.0,4.5,Soho,https://www.opentable.co.uk/r/jinjuu-soho-london?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2515
24,24,1242,Dean Street Townhouse,British,3,2978.0,4.6,Soho,https://www.opentable.co.uk/dean-street-townhouse?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2302
25,25,1122,Pierre Victoire,French,2,4365.0,4.6,Soho,https://www.opentable.co.uk/pierre-victoire?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2240
26,26,1438,Forty Dean Street,Italian,3,2184.0,4.5,Soho,https://www.opentable.co.uk/r/forty-dean-street-london-2?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2358
27,27,1436,Cecconi'S,Italian,3,1857.0,4.6,Mayfair,https://www.opentable.co.uk/cecconis-london?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2606
28,28,1364,Fishworks - Swallow Street,Seafood,2,2750.0,4.4,Piccadilly,https://www.opentable.co.uk/r/fishworks-swallow-street-london?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2583
